feature,coefficient_class_0,coefficient_class_1,coefficient_class_2
roa,0.18305409625275018,-1.1656505051067114,0.9825964088539556
operating_margin,-0.3132100214026226,-0.32699427540971465,0.64020429681234
debt_to_assets,0.25263043700632876,0.21629677166363556,-0.46892720866996196
revenue_growth,1.0632197232422183,-0.4994500236885486,-0.56376969955367
current_ratio,-0.16044418768451746,0.007984545335965857,0.1524596423485544
log_assets,-1.2707223684101618,-0.0392517477666447,1.3099741161768026
price_to_sales,2.160288880989984,0.1423030465459036,-2.302591927535885
price_to_book,4.541052442176845,-0.17211251764316035,-4.3689399245336915
roa_change,0.0888383741725038,0.06498909060497261,-0.15382746477747888
operating_margin_change,-1.3062629117315883,0.6123001800503605,0.6939627316812303
debt_to_assets_change,-0.1875897752093755,0.22324126821723395,-0.03565149300785694
roa_rel,-0.6186606001203536,1.1979850187578334,-0.5793244186374806
operating_margin_rel,0.9413615561178822,0.730689441027526,-1.672050997145403
debt_to_assets_rel,0.9227367986192168,-0.8874743508844413,-0.035262447734773966
price_to_sales_rel,4.841300146982471,1.7955716046334955,-6.636871751615969
price_to_book_rel,5.544588880904366,0.3478716792792517,-5.8924605601836255
